"city","weather","visibility","temp","temp_min","temp_max","pressure","humidity","wind_speed","wind_deg","forecast_datetime","season"
"Seoul","Clouds",10000,-5.17,-5.17,-5.17,1030,46,5.29,313,"2022-01-17 09:00:00","winter"
"Seoul","Clouds",10000,-1.36,-1.36,-1.36,1022,95,1.14,352,"2022-01-17 09:00:00","winter"
"Seoul","Clouds",10000,6.02,6.02,6.02,1030,94,1.68,278,"2022-01-17 09:00:00","winter"
"Seoul","Clear",10000,8.1,8.1,8.1,1032,40,3.37,28,"2022-01-17 09:00:00","winter"
"Seoul","Clouds",10000,-5.17,-5.17,-5.17,1030,46,5.29,313,"2022-01-17 09:00:00","winter"
"Seoul","Clouds",10000,-1.36,-1.36,-1.36,1022,95,1.14,352,"2022-01-17 09:00:00","winter"
"Seoul","Clouds",10000,6.02,6.02,6.02,1030,94,1.68,278,"2022-01-17 09:00:00","winter"
"Seoul","Clear",10000,8.1,8.1,8.1,1032,40,3.37,28,"2022-01-17 09:00:00","winter"
"Seoul","Clouds",10000,-5.17,-5.17,-5.17,1030,46,5.29,313,"2022-01-17 09:00:00","winter"
"Seoul","Clouds",10000,-1.36,-1.36,-1.36,1022,95,1.14,352,"2022-01-17 09:00:00","winter"
"Seoul","Clouds",10000,6.02,6.02,6.02,1030,94,1.68,278,"2022-01-17 09:00:00","winter"
"Seoul","Clear",10000,8.1,8.1,8.1,1032,40,3.37,28,"2022-01-17 09:00:00","winter"
"Seoul","Clouds",10000,-5.17,-5.17,-5.17,1030,46,5.29,313,"2022-01-17 09:00:00","winter"
"Seoul","Clouds",10000,-1.36,-1.36,-1.36,1022,95,1.14,352,"2022-01-17 09:00:00","winter"
"Seoul","Clouds",10000,6.02,6.02,6.02,1030,94,1.68,278,"2022-01-17 09:00:00","winter"
"Seoul","Clear",10000,8.1,8.1,8.1,1032,40,3.37,28,"2022-01-17 09:00:00","winter"
"Seoul","Clouds",10000,-5.17,-5.17,-5.17,1030,46,5.29,313,"2022-01-17 09:00:00","winter"
"Seoul","Clouds",10000,-1.36,-1.36,-1.36,1022,95,1.14,352,"2022-01-17 09:00:00","winter"
"Seoul","Clouds",10000,6.02,6.02,6.02,1030,94,1.68,278,"2022-01-17 09:00:00","winter"
"Seoul","Clear",10000,8.1,8.1,8.1,1032,40,3.37,28,"2022-01-17 09:00:00","winter"
"Seoul","Clouds",10000,-5.17,-5.17,-5.17,1030,46,5.29,313,"2022-01-17 09:00:00","winter"
"Seoul","Clouds",10000,-1.36,-1.36,-1.36,1022,95,1.14,352,"2022-01-17 09:00:00","winter"
"Seoul","Clouds",10000,6.02,6.02,6.02,1030,94,1.68,278,"2022-01-17 09:00:00","winter"
"Seoul","Clear",10000,8.1,8.1,8.1,1032,40,3.37,28,"2022-01-17 09:00:00","winter"
"Seoul","Clouds",10000,-5.17,-5.17,-5.17,1030,46,5.29,313,"2022-01-17 09:00:00","winter"
"Seoul","Clouds",10000,-1.36,-1.36,-1.36,1022,95,1.14,352,"2022-01-17 09:00:00","winter"
"Seoul","Clouds",10000,6.02,6.02,6.02,1030,94,1.68,278,"2022-01-17 09:00:00","winter"
"Seoul","Clear",10000,8.1,8.1,8.1,1032,40,3.37,28,"2022-01-17 09:00:00","winter"
"Seoul","Clouds",10000,-5.17,-5.17,-5.17,1030,46,5.29,313,"2022-01-17 09:00:00","winter"
"Seoul","Clouds",10000,-1.36,-1.36,-1.36,1022,95,1.14,352,"2022-01-17 09:00:00","winter"
"Seoul","Clouds",10000,6.02,6.02,6.02,1030,94,1.68,278,"2022-01-17 09:00:00","winter"
"Seoul","Clear",10000,8.1,8.1,8.1,1032,40,3.37,28,"2022-01-17 09:00:00","winter"
"Seoul","Clouds",10000,-5.17,-5.17,-5.17,1030,46,5.29,313,"2022-01-17 09:00:00","winter"
"Seoul","Clouds",10000,-1.36,-1.36,-1.36,1022,95,1.14,352,"2022-01-17 09:00:00","winter"
"Seoul","Clouds",10000,6.02,6.02,6.02,1030,94,1.68,278,"2022-01-17 09:00:00","winter"
"Seoul","Clear",10000,8.1,8.1,8.1,1032,40,3.37,28,"2022-01-17 09:00:00","winter"
"Seoul","Clouds",10000,-5.17,-5.17,-5.17,1030,46,5.29,313,"2022-01-17 09:00:00","winter"
"Seoul","Clouds",10000,-1.36,-1.36,-1.36,1022,95,1.14,352,"2022-01-17 09:00:00","winter"
"Seoul","Clouds",10000,6.02,6.02,6.02,1030,94,1.68,278,"2022-01-17 09:00:00","winter"
"Seoul","Clear",10000,8.1,8.1,8.1,1032,40,3.37,28,"2022-01-17 09:00:00","winter"
"Washington, D.C.","Clouds",10000,-5.17,-5.17,-5.17,1030,46,5.29,313,"2022-01-17 09:00:00","winter"
"Washington, D.C.","Clouds",10000,-1.36,-1.36,-1.36,1022,95,1.14,352,"2022-01-17 09:00:00","winter"
"Washington, D.C.","Clouds",10000,6.02,6.02,6.02,1030,94,1.68,278,"2022-01-17 09:00:00","winter"
"Washington, D.C.","Clear",10000,8.1,8.1,8.1,1032,40,3.37,28,"2022-01-17 09:00:00","winter"
"Washington, D.C.","Clouds",10000,-5.17,-5.17,-5.17,1030,46,5.29,313,"2022-01-17 09:00:00","winter"
"Washington, D.C.","Clouds",10000,-1.36,-1.36,-1.36,1022,95,1.14,352,"2022-01-17 09:00:00","winter"
"Washington, D.C.","Clouds",10000,6.02,6.02,6.02,1030,94,1.68,278,"2022-01-17 09:00:00","winter"
"Washington, D.C.","Clear",10000,8.1,8.1,8.1,1032,40,3.37,28,"2022-01-17 09:00:00","winter"
"Washington, D.C.","Clouds",10000,-5.17,-5.17,-5.17,1030,46,5.29,313,"2022-01-17 09:00:00","winter"
"Washington, D.C.","Clouds",10000,-1.36,-1.36,-1.36,1022,95,1.14,352,"2022-01-17 09:00:00","winter"
"Washington, D.C.","Clouds",10000,6.02,6.02,6.02,1030,94,1.68,278,"2022-01-17 09:00:00","winter"
"Washington, D.C.","Clear",10000,8.1,8.1,8.1,1032,40,3.37,28,"2022-01-17 09:00:00","winter"
"Washington, D.C.","Clouds",10000,-5.17,-5.17,-5.17,1030,46,5.29,313,"2022-01-17 09:00:00","winter"
"Washington, D.C.","Clouds",10000,-1.36,-1.36,-1.36,1022,95,1.14,352,"2022-01-17 09:00:00","winter"
"Washington, D.C.","Clouds",10000,6.02,6.02,6.02,1030,94,1.68,278,"2022-01-17 09:00:00","winter"
"Washington, D.C.","Clear",10000,8.1,8.1,8.1,1032,40,3.37,28,"2022-01-17 09:00:00","winter"
"Washington, D.C.","Clouds",10000,-5.17,-5.17,-5.17,1030,46,5.29,313,"2022-01-17 09:00:00","winter"
"Washington, D.C.","Clouds",10000,-1.36,-1.36,-1.36,1022,95,1.14,352,"2022-01-17 09:00:00","winter"
"Washington, D.C.","Clouds",10000,6.02,6.02,6.02,1030,94,1.68,278,"2022-01-17 09:00:00","winter"
"Washington, D.C.","Clear",10000,8.1,8.1,8.1,1032,40,3.37,28,"2022-01-17 09:00:00","winter"
"Washington, D.C.","Clouds",10000,-5.17,-5.17,-5.17,1030,46,5.29,313,"2022-01-17 09:00:00","winter"
"Washington, D.C.","Clouds",10000,-1.36,-1.36,-1.36,1022,95,1.14,352,"2022-01-17 09:00:00","winter"
"Washington, D.C.","Clouds",10000,6.02,6.02,6.02,1030,94,1.68,278,"2022-01-17 09:00:00","winter"
"Washington, D.C.","Clear",10000,8.1,8.1,8.1,1032,40,3.37,28,"2022-01-17 09:00:00","winter"
"Washington, D.C.","Clouds",10000,-5.17,-5.17,-5.17,1030,46,5.29,313,"2022-01-17 09:00:00","winter"
"Washington, D.C.","Clouds",10000,-1.36,-1.36,-1.36,1022,95,1.14,352,"2022-01-17 09:00:00","winter"
"Washington, D.C.","Clouds",10000,6.02,6.02,6.02,1030,94,1.68,278,"2022-01-17 09:00:00","winter"
"Washington, D.C.","Clear",10000,8.1,8.1,8.1,1032,40,3.37,28,"2022-01-17 09:00:00","winter"
"Washington, D.C.","Clouds",10000,-5.17,-5.17,-5.17,1030,46,5.29,313,"2022-01-17 09:00:00","winter"
"Washington, D.C.","Clouds",10000,-1.36,-1.36,-1.36,1022,95,1.14,352,"2022-01-17 09:00:00","winter"
"Washington, D.C.","Clouds",10000,6.02,6.02,6.02,1030,94,1.68,278,"2022-01-17 09:00:00","winter"
"Washington, D.C.","Clear",10000,8.1,8.1,8.1,1032,40,3.37,28,"2022-01-17 09:00:00","winter"
"Washington, D.C.","Clouds",10000,-5.17,-5.17,-5.17,1030,46,5.29,313,"2022-01-17 09:00:00","winter"
"Washington, D.C.","Clouds",10000,-1.36,-1.36,-1.36,1022,95,1.14,352,"2022-01-17 09:00:00","winter"
"Washington, D.C.","Clouds",10000,6.02,6.02,6.02,1030,94,1.68,278,"2022-01-17 09:00:00","winter"
"Washington, D.C.","Clear",10000,8.1,8.1,8.1,1032,40,3.37,28,"2022-01-17 09:00:00","winter"
"Washington, D.C.","Clouds",10000,-5.17,-5.17,-5.17,1030,46,5.29,313,"2022-01-17 09:00:00","winter"
"Washington, D.C.","Clouds",10000,-1.36,-1.36,-1.36,1022,95,1.14,352,"2022-01-17 09:00:00","winter"
"Washington, D.C.","Clouds",10000,6.02,6.02,6.02,1030,94,1.68,278,"2022-01-17 09:00:00","winter"
"Washington, D.C.","Clear",10000,8.1,8.1,8.1,1032,40,3.37,28,"2022-01-17 09:00:00","winter"
"Paris","Clouds",10000,-5.17,-5.17,-5.17,1030,46,5.29,313,"2022-01-17 09:00:00","winter"
"Paris","Clouds",10000,-1.36,-1.36,-1.36,1022,95,1.14,352,"2022-01-17 09:00:00","winter"
"Paris","Clouds",10000,6.02,6.02,6.02,1030,94,1.68,278,"2022-01-17 09:00:00","winter"
"Paris","Clear",10000,8.1,8.1,8.1,1032,40,3.37,28,"2022-01-17 09:00:00","winter"
"Paris","Clouds",10000,-5.17,-5.17,-5.17,1030,46,5.29,313,"2022-01-17 09:00:00","winter"
"Paris","Clouds",10000,-1.36,-1.36,-1.36,1022,95,1.14,352,"2022-01-17 09:00:00","winter"
"Paris","Clouds",10000,6.02,6.02,6.02,1030,94,1.68,278,"2022-01-17 09:00:00","winter"
"Paris","Clear",10000,8.1,8.1,8.1,1032,40,3.37,28,"2022-01-17 09:00:00","winter"
"Paris","Clouds",10000,-5.17,-5.17,-5.17,1030,46,5.29,313,"2022-01-17 09:00:00","winter"
"Paris","Clouds",10000,-1.36,-1.36,-1.36,1022,95,1.14,352,"2022-01-17 09:00:00","winter"
"Paris","Clouds",10000,6.02,6.02,6.02,1030,94,1.68,278,"2022-01-17 09:00:00","winter"
"Paris","Clear",10000,8.1,8.1,8.1,1032,40,3.37,28,"2022-01-17 09:00:00","winter"
"Paris","Clouds",10000,-5.17,-5.17,-5.17,1030,46,5.29,313,"2022-01-17 09:00:00","winter"
"Paris","Clouds",10000,-1.36,-1.36,-1.36,1022,95,1.14,352,"2022-01-17 09:00:00","winter"
"Paris","Clouds",10000,6.02,6.02,6.02,1030,94,1.68,278,"2022-01-17 09:00:00","winter"
"Paris","Clear",10000,8.1,8.1,8.1,1032,40,3.37,28,"2022-01-17 09:00:00","winter"
"Paris","Clouds",10000,-5.17,-5.17,-5.17,1030,46,5.29,313,"2022-01-17 09:00:00","winter"
"Paris","Clouds",10000,-1.36,-1.36,-1.36,1022,95,1.14,352,"2022-01-17 09:00:00","winter"
"Paris","Clouds",10000,6.02,6.02,6.02,1030,94,1.68,278,"2022-01-17 09:00:00","winter"
"Paris","Clear",10000,8.1,8.1,8.1,1032,40,3.37,28,"2022-01-17 09:00:00","winter"
"Paris","Clouds",10000,-5.17,-5.17,-5.17,1030,46,5.29,313,"2022-01-17 09:00:00","winter"
"Paris","Clouds",10000,-1.36,-1.36,-1.36,1022,95,1.14,352,"2022-01-17 09:00:00","winter"
"Paris","Clouds",10000,6.02,6.02,6.02,1030,94,1.68,278,"2022-01-17 09:00:00","winter"
"Paris","Clear",10000,8.1,8.1,8.1,1032,40,3.37,28,"2022-01-17 09:00:00","winter"
"Paris","Clouds",10000,-5.17,-5.17,-5.17,1030,46,5.29,313,"2022-01-17 09:00:00","winter"
"Paris","Clouds",10000,-1.36,-1.36,-1.36,1022,95,1.14,352,"2022-01-17 09:00:00","winter"
"Paris","Clouds",10000,6.02,6.02,6.02,1030,94,1.68,278,"2022-01-17 09:00:00","winter"
"Paris","Clear",10000,8.1,8.1,8.1,1032,40,3.37,28,"2022-01-17 09:00:00","winter"
"Paris","Clouds",10000,-5.17,-5.17,-5.17,1030,46,5.29,313,"2022-01-17 09:00:00","winter"
"Paris","Clouds",10000,-1.36,-1.36,-1.36,1022,95,1.14,352,"2022-01-17 09:00:00","winter"
"Paris","Clouds",10000,6.02,6.02,6.02,1030,94,1.68,278,"2022-01-17 09:00:00","winter"
"Paris","Clear",10000,8.1,8.1,8.1,1032,40,3.37,28,"2022-01-17 09:00:00","winter"
"Paris","Clouds",10000,-5.17,-5.17,-5.17,1030,46,5.29,313,"2022-01-17 09:00:00","winter"
"Paris","Clouds",10000,-1.36,-1.36,-1.36,1022,95,1.14,352,"2022-01-17 09:00:00","winter"
"Paris","Clouds",10000,6.02,6.02,6.02,1030,94,1.68,278,"2022-01-17 09:00:00","winter"
"Paris","Clear",10000,8.1,8.1,8.1,1032,40,3.37,28,"2022-01-17 09:00:00","winter"
"Paris","Clouds",10000,-5.17,-5.17,-5.17,1030,46,5.29,313,"2022-01-17 09:00:00","winter"
"Paris","Clouds",10000,-1.36,-1.36,-1.36,1022,95,1.14,352,"2022-01-17 09:00:00","winter"
"Paris","Clouds",10000,6.02,6.02,6.02,1030,94,1.68,278,"2022-01-17 09:00:00","winter"
"Paris","Clear",10000,8.1,8.1,8.1,1032,40,3.37,28,"2022-01-17 09:00:00","winter"
"Suzhou","Clouds",10000,-5.17,-5.17,-5.17,1030,46,5.29,313,"2022-01-17 09:00:00","winter"
"Suzhou","Clouds",10000,-1.36,-1.36,-1.36,1022,95,1.14,352,"2022-01-17 09:00:00","winter"
"Suzhou","Clouds",10000,6.02,6.02,6.02,1030,94,1.68,278,"2022-01-17 09:00:00","winter"
"Suzhou","Clear",10000,8.1,8.1,8.1,1032,40,3.37,28,"2022-01-17 09:00:00","winter"
"Suzhou","Clouds",10000,-5.17,-5.17,-5.17,1030,46,5.29,313,"2022-01-17 09:00:00","winter"
"Suzhou","Clouds",10000,-1.36,-1.36,-1.36,1022,95,1.14,352,"2022-01-17 09:00:00","winter"
"Suzhou","Clouds",10000,6.02,6.02,6.02,1030,94,1.68,278,"2022-01-17 09:00:00","winter"
"Suzhou","Clear",10000,8.1,8.1,8.1,1032,40,3.37,28,"2022-01-17 09:00:00","winter"
"Suzhou","Clouds",10000,-5.17,-5.17,-5.17,1030,46,5.29,313,"2022-01-17 09:00:00","winter"
"Suzhou","Clouds",10000,-1.36,-1.36,-1.36,1022,95,1.14,352,"2022-01-17 09:00:00","winter"
"Suzhou","Clouds",10000,6.02,6.02,6.02,1030,94,1.68,278,"2022-01-17 09:00:00","winter"
"Suzhou","Clear",10000,8.1,8.1,8.1,1032,40,3.37,28,"2022-01-17 09:00:00","winter"
"Suzhou","Clouds",10000,-5.17,-5.17,-5.17,1030,46,5.29,313,"2022-01-17 09:00:00","winter"
"Suzhou","Clouds",10000,-1.36,-1.36,-1.36,1022,95,1.14,352,"2022-01-17 09:00:00","winter"
"Suzhou","Clouds",10000,6.02,6.02,6.02,1030,94,1.68,278,"2022-01-17 09:00:00","winter"
"Suzhou","Clear",10000,8.1,8.1,8.1,1032,40,3.37,28,"2022-01-17 09:00:00","winter"
"Suzhou","Clouds",10000,-5.17,-5.17,-5.17,1030,46,5.29,313,"2022-01-17 09:00:00","winter"
"Suzhou","Clouds",10000,-1.36,-1.36,-1.36,1022,95,1.14,352,"2022-01-17 09:00:00","winter"
"Suzhou","Clouds",10000,6.02,6.02,6.02,1030,94,1.68,278,"2022-01-17 09:00:00","winter"
"Suzhou","Clear",10000,8.1,8.1,8.1,1032,40,3.37,28,"2022-01-17 09:00:00","winter"
"Suzhou","Clouds",10000,-5.17,-5.17,-5.17,1030,46,5.29,313,"2022-01-17 09:00:00","winter"
"Suzhou","Clouds",10000,-1.36,-1.36,-1.36,1022,95,1.14,352,"2022-01-17 09:00:00","winter"
"Suzhou","Clouds",10000,6.02,6.02,6.02,1030,94,1.68,278,"2022-01-17 09:00:00","winter"
"Suzhou","Clear",10000,8.1,8.1,8.1,1032,40,3.37,28,"2022-01-17 09:00:00","winter"
"Suzhou","Clouds",10000,-5.17,-5.17,-5.17,1030,46,5.29,313,"2022-01-17 09:00:00","winter"
"Suzhou","Clouds",10000,-1.36,-1.36,-1.36,1022,95,1.14,352,"2022-01-17 09:00:00","winter"
"Suzhou","Clouds",10000,6.02,6.02,6.02,1030,94,1.68,278,"2022-01-17 09:00:00","winter"
"Suzhou","Clear",10000,8.1,8.1,8.1,1032,40,3.37,28,"2022-01-17 09:00:00","winter"
"Suzhou","Clouds",10000,-5.17,-5.17,-5.17,1030,46,5.29,313,"2022-01-17 09:00:00","winter"
"Suzhou","Clouds",10000,-1.36,-1.36,-1.36,1022,95,1.14,352,"2022-01-17 09:00:00","winter"
"Suzhou","Clouds",10000,6.02,6.02,6.02,1030,94,1.68,278,"2022-01-17 09:00:00","winter"
"Suzhou","Clear",10000,8.1,8.1,8.1,1032,40,3.37,28,"2022-01-17 09:00:00","winter"
"Suzhou","Clouds",10000,-5.17,-5.17,-5.17,1030,46,5.29,313,"2022-01-17 09:00:00","winter"
"Suzhou","Clouds",10000,-1.36,-1.36,-1.36,1022,95,1.14,352,"2022-01-17 09:00:00","winter"
"Suzhou","Clouds",10000,6.02,6.02,6.02,1030,94,1.68,278,"2022-01-17 09:00:00","winter"
"Suzhou","Clear",10000,8.1,8.1,8.1,1032,40,3.37,28,"2022-01-17 09:00:00","winter"
"Suzhou","Clouds",10000,-5.17,-5.17,-5.17,1030,46,5.29,313,"2022-01-17 09:00:00","winter"
"Suzhou","Clouds",10000,-1.36,-1.36,-1.36,1022,95,1.14,352,"2022-01-17 09:00:00","winter"
"Suzhou","Clouds",10000,6.02,6.02,6.02,1030,94,1.68,278,"2022-01-17 09:00:00","winter"
"Suzhou","Clear",10000,8.1,8.1,8.1,1032,40,3.37,28,"2022-01-17 09:00:00","winter"
